RunTime,ExecutableName
2024-11-20 18:10:05,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-20 18:10:05,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-19 18:39:30,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-19 18:33:18,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-19 18:28:02,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2023-10-04 17:59:14,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEMAPPS\MICROSOFT.WINDOWS.APPREP.CHXAPP_CW5N1H2TXYEWY\CHXSMARTSCREEN.EXE
2023-10-04 17:56:01,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEMAPPS\MICROSOFT.WINDOWS.APPREP.CHXAPP_CW5N1H2TXYEWY\CHXSMARTSCREEN.EXE
2024-10-01 18:31:39,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEMAPPS\MICROSOFT.WINDOWS.APPREP.CHXAPP_CW5N1H2TXYEWY\CHXSMARTSCREEN.EXE
2024-11-20 19:29:17,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CLIPUP.EXE
2024-11-20 19:29:17,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CLIPUP.EXE
2024-11-20 18:59:17,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CLIPUP.EXE
2024-11-20 18:59:17,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CLIPUP.EXE
2024-11-20 18:19:09,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CMD.EXE
2024-11-20 18:19:01,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CMD.EXE
2024-11-20 18:16:55,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CMD.EXE
2024-11-20 18:19:01,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:16:51,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:14:00,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-19 20:10:41,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-19 19:50:21,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-19 19:47:44,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
